Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-03-16 10:02:00+05:30,53882.6,53911.7,53869.2,53874.8,0,8159364.0,53890.45,439711791299.3,18985764424344.38,352280160.0,53893.94,53834.8,53820.02,53805.23,53987.7,32.04,31.91,17.49,17.49,53901.78,53972.88,54011.08,53974.16,53974.16,54158.81,53863.34,54084.94,53937.21,53846.38,53931.74,53889.06,53790.88,True,False,False,False,True,False,SELL
2026-03-16 10:03:00+05:30,53872.75,53896.15,53867.45,53881.0,0,8460828.0,53881.8,455884632215.37,19441649056559.74,360740988.0,53893.65,53834.63,53819.87,53805.12,53964.0,30.79,31.35,7.08,7.08,53886.19,53962.29,54000.55,53969.53,53969.53,54156.39,53844.7,54078.47,53922.62,53830.0,53947.25,53888.62,53786.55,True,False,False,False,True,False,SELL
2026-03-16 10:04:00+05:30,53956.55,53960.85,53875.05,53875.05,0,5549724.0,53917.95,299229747649.38,19740878804209.12,366290712.0,53894.02,53834.85,53820.06,53805.27,53867.45,49.6,40.47,95.4,95.4,53901.67,53961.68,53995.96,53938.99,53968.94,54151.28,53840.63,54073.62,53918.29,53880.86,54021.42,53951.14,53823.92,False,False,False,False,True,False,WAIT
2026-03-16 10:05:00+05:30,54011.05,54011.05,53955.7,53955.7,0,4947204.0,53983.38,267066768733.5,20007945572942.62,371237916.0,53895.21,53835.56,53820.65,53805.74,53867.45,57.95,49.21,100.0,100.0,53919.74,53966.9,53991.5,53945.39,53970.84,54139.15,53843.85,54065.32,53917.67,53882.82,53932.34,53907.58,53851.18,False,False,False,False,False,False,WAIT
2026-03-16 10:06:00+05:30,53983.8,54010.35,53976.65,54008.65,0,3514488.0,53993.5,189759507828.0,20197705080770.62,374752404.0,53896.13,53836.12,53821.11,53806.11,53873.19,53.01,51.11,81.02,81.02,53941.35,53968.68,53985.84,53950.32,53971.42,54124.9,53846.78,54055.37,53916.31,53842.7,53921.03,53881.87,53842.4,False,False,False,False,False,False,WAIT
2026-03-16 10:07:00+05:30,53952.95,53988.45,53949.5,53981.5,0,4890684.0,53968.97,263945200618.48,20461650281389.1,379643088.0,53897.07,53836.68,53821.58,53806.49,53878.71,47.81,49.46,57.28,57.28,53955.42,53967.02,53981.36,53954.11,53970.6,54118.48,53844.24,54049.92,53912.8,53830.89,53958.87,53894.88,54091.79,False,False,False,False,False,False,WAIT
2026-03-16 10:08:00+05:30,53936.1,53954.85,53917.25,53949.7,0,4685844.0,53936.05,252735919937.02,20714386201326.12,384328932.0,53897.55,53836.97,53821.82,53806.68,53884.0,45.1,47.28,20.1,20.1,53968.09,53963.76,53975.16,53957.18,53969.07,54108.46,53841.86,54041.81,53908.51,53832.66,53940.61,53886.63,54012.48,False,True,False,False,False,False,WAIT
2026-03-16 10:09:00+05:30,53900.1,53937.25,53896.35,53937.25,0,4251444.0,53916.8,229224259180.64,20943610460506.76,388580376.0,53897.76,53837.09,53821.93,53806.76,53889.08,39.68,43.48,3.29,3.29,53956.8,53957.04,53967.27,53958.98,53966.03,54098.61,53835.93,54032.94,53901.6,53810.92,53926.18,53868.55,53941.0,False,False,False,False,True,False,SELL
2026-03-16 10:10:00+05:30,53886.15,53917.7,53883.4,53901.6,0,6030864.0,53900.55,325066879507.78,21268677340014.54,394611240.0,53897.8,53837.12,53821.95,53806.78,54011.05,37.7,40.59,2.62,2.62,53931.82,53949.57,53959.16,53960.87,53962.52,54089.47,53828.86,54024.32,53894.01,53799.39,53904.06,53851.73,53899.52,False,False,False,False,True,False,SELL
2026-03-16 10:11:00+05:30,53873.0,53893.0,53870.8,53884.05,0,5353344.0,53881.9,288448348164.75,21557125688179.29,399964584.0,53897.59,53836.99,53821.84,53806.69,54008.5,35.81,38.2,2.62,2.62,53909.66,53941.49,53949.14,53962.95,53958.61,54073.11,53825.17,54011.13,53887.16,53789.8,53938.1,53863.95,53849.2,False,False,False,False,False,False,SELL
