Date,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-03-10 05:30:00+05:30,24261.6,24303.8,24079.95,24280.8,444300,25383232215.0,24191.88,614067980841253.1,614067980841253.1,25383232215.0,24191.88,24099.21,24076.05,24052.88,25741.7,31.51,29.15,48.75,48.75,24397.3,25006.47,25278.4,25529.52,25332.25,26460.62,24096.18,25869.51,24687.29,24509.11,25062.22,25615.34,False,-908.71,24374.96,24667.36,24521.16,,12862.87,,False,True,True,True,True,False,SELL
2026-03-11 05:30:00+05:30,23866.85,24299.0,23834.3,24231.85,407400,23204978335.0,24066.65,558466100910472.4,558466100910472.4,23204978335.0,24066.65,24024.08,24013.44,24002.79,25578.19,26.23,27.69,16.85,16.85,24274.57,24886.14,25174.98,25486.01,25266.58,26471.62,23878.34,25823.3,24526.66,24381.55,24948.38,25515.2,False,-1194.83,24294.36,24586.76,24440.56,12928.89,19333.66,,False,False,False,True,True,True,SELL
2026-03-12 05:30:00+05:30,23639.15,23833.15,23556.3,23674.85,501000,28684279910.0,23694.73,679666141097670.0,679666141097670.0,28684279910.0,23694.73,23854.02,23827.48,23800.93,25427.76,23.66,25.67,11.08,11.08,24049.22,24754.52,25059.25,25439.95,25194.06,26471.25,23647.24,25765.25,24353.25,24266.49,24823.69,25380.89,False,-1302.32,24113.4,24295.65,24204.52,12754.3,19195.56,,True,False,True,True,True,False,SELL
2026-03-13 05:30:00+05:30,23151.1,23492.4,23112.0,23462.5,519800,29550665870.0,23302.2,688595532007528.4,688595532007528.4,29550665870.0,23302.2,23697.01,23631.21,23565.41,25240.61,19.13,22.4,3.28,3.28,23789.35,24585.32,24926.44,25384.19,25103.5,26529.02,23323.87,25727.73,24125.16,24084.95,24664.4,25243.84,False,-1644.32,23692.22,23876.32,23784.27,12580.62,19195.56,,False,False,False,False,True,False,SELL
2026-03-16 05:30:00+05:30,23408.8,23502.0,22955.25,23116.1,540300,30651110820.0,23228.62,711983159071222.5,711983159071222.5,30651110820.0,23228.62,23667.58,23594.42,23521.26,24985.18,27.38,24.89,33.75,33.75,23665.5,24461.2,24823.33,25329.78,25028.76,26539.69,23106.96,25681.51,23965.14,23942.45,24544.81,25147.18,False,-1275.27,23652.27,23866.48,23759.38,12564.62,19195.56,,False,False,False,False,True,False,SELL
2026-03-17 05:30:00+05:30,23581.15,23656.8,23346.6,23493.2,458800,26530812110.0,23501.7,623519192147386.2,623519192147386.2,26530812110.0,23501.7,23776.81,23730.96,23685.11,24700.99,32.56,28.73,71.3,71.3,23529.41,24368.38,24718.25,25278.47,24965.23,26470.04,22966.46,25594.14,23842.35,23863.72,24453.04,25042.35,False,-1004.49,23652.27,23866.48,23759.38,12564.62,19218.38,,False,True,False,False,True,False,WAIT
2026-03-18 05:30:00+05:30,23777.8,23862.25,23618.45,23632.9,382900,22014202045.0,23740.35,522624852919718.06,522624852919718.06,22014202045.0,23740.35,23872.27,23850.29,23828.3,24456.59,38.21,33.47,90.69,90.69,23511.6,24306.11,24620.87,25227.45,24913.36,26353.35,22888.39,25487.11,23754.63,23815.38,24388.73,24962.07,False,-727.0,23652.27,23866.48,23759.38,12564.62,25744.32,,False,False,False,True,True,False,WAIT
2026-03-19 05:30:00+05:30,23002.15,23378.7,22930.35,23197.75,550100,31304821955.0,23154.52,724848264234927.2,724848264234927.2,31304821955.0,23154.52,23637.94,23557.37,23476.8,24246.4,27.85,30.66,7.7,7.7,23384.2,24168.63,24480.01,25162.49,24830.25,26259.67,22700.35,25369.84,23590.18,23616.87,24256.67,24896.48,False,-1366.19,23557.93,23792.0,23674.96,12564.62,25494.08,,False,False,False,False,True,False,SELL
2026-03-20 05:30:00+05:30,23114.5,23345.15,23067.6,23110.15,663300,36890921650.0,23206.38,856104561905518.8,856104561905518.8,36890921650.0,23206.38,23658.68,23583.3,23507.91,24035.83,30.9,30.78,19.76,19.76,23376.88,24057.51,24363.02,25101.21,24755.95,26180.22,22545.81,25271.62,23454.41,23520.02,24147.9,24775.77,False,-1140.96,23538.33,23792.0,23665.17,12564.62,25494.08,,True,False,False,False,True,False,SELL
2026-03-23 05:30:00+05:30,22512.65,22851.7,22471.25,22824.35,550300,31888852490.0,22661.47,722648421024239.6,722648421024239.6,31888852490.0,22661.47,23440.72,23310.85,23180.97,23858.95,24.62,27.7,2.98,2.98,23197.65,23894.69,24210.08,25028.64,24659.2,26111.99,22308.18,25161.04,23259.13,23332.19,23992.16,24652.12,False,-1588.47,23061.97,23383.0,23222.48,12373.83,25494.08,,False,False,False,False,True,False,SELL
